Timestamp;nature;identifier;latitude;longitude;available;free;total;credit_card
2017/10/16 10:28:03.272000000;1 Rue Jules Ferry - Gare Saint-Roch;1;43.605366;3.881346;1;15;16;1
2017/10/16 10:28:03.276000000;2 Comédie;2;43.608148;3.878778;15;9;24;1
2017/10/16 10:28:03.277000000;3 Esplanade;3;43.609478;3.881293;13;19;32;1
2017/10/16 10:28:03.278000000;4 Hôtel de Ville;4;43.599088;3.894866;14;2;16;1
2017/10/16 10:28:03.279000000;5 Corum;5;43.613989;3.881600;3;13;16;1
2017/10/16 10:28:03.281000000;6 Place Albert 1er - St Charles;6;43.616768;3.873375;2;22;24;1
2017/10/16 10:28:03.282000000;7 Foch;7;43.610989;3.873345;2;6;8;
2017/10/16 10:28:03.283000000;8 Halles Castellane;8;43.609935;3.877208;7;9;16;
2017/10/16 10:28:03.284000000;9 Observatoire;9;43.606081;3.876931;0;8;8;1
2017/10/16 10:28:03.285000000;10 Rondelet;10;43.603038;3.875796;1;15;16;1
2017/10/16 10:28:03.286000000;11 Plan Cabanes;11;43.608491;3.868389;4;8;12;1
2017/10/16 10:28:03.287000000;12 Boutonnet;12;43.622629;3.868375;2;10;12;1
2017/10/16 10:28:03.288000000;13 Emile Combes;13;43.616742;3.879980;3;5;8;
2017/10/16 10:28:03.289000000;14 Beaux-Arts;14;43.616698;3.884981;6;2;8;
2017/10/16 10:28:03.290000000;15 Les Aubes;15;43.618692;3.893844;0;8;8;
2017/10/16 10:28:03.291000000;16 Antigone centre;16;43.607942;3.890634;11;5;16;1
2017/10/16 10:28:03.292000000;17 Médiathèque Emile Zola;17;43.608218;3.893140;12;4;16;1
2017/10/16 10:28:03.293000000;18 Nombre d'Or;18;43.607859;3.886644;9;7;16;1
2017/10/16 10:28:03.294000000;19 Louis Blanc;19;43.614642;3.877648;1;15;16;1
2017/10/16 10:28:03.295000000;20 Gambetta;20;43.607106;3.870693;1;7;8;
2017/10/16 10:28:03.296000000;21 Port Marianne;21;43.600320;3.898510;8;8;16;1
2017/10/16 10:28:03.298000000;22 Clemenceau;22;43.603539;3.872394;0;12;12;
2017/10/16 10:28:03.299000000;23 Les Arceaux;23;43.611991;3.867157;1;15;16;1
2017/10/16 10:28:03.300000000;24 Cité Mion;24;43.601143;3.884373;5;3;8;
2017/10/16 10:28:03.301000000;25 Nouveau Saint-Roch;25;43.599817;3.875757;0;8;8;
2017/10/16 10:28:03.302000000;26 Renouvier;26;43.603553;3.867884;1;7;8;
2017/10/16 10:28:03.302000000;27 Odysseum;27;43.603727;3.918979;0;8;8;1
2017/10/16 10:28:03.302000000;28 Saint-Denis;28;43.605021;3.875065;4;4;8;
2017/10/16 10:28:03.302000000;29 Richter;29;43.603424;3.899263;9;7;16;1
2017/10/16 10:28:03.302000000;30 Charles Flahault;30;43.618762;3.865971;7;1;8;
2017/10/16 10:28:03.302000000;31 Voltaire;31;43.603767;3.888659;5;3;8;
2017/10/16 10:28:03.302000000;32 Prés d'Arènes;32;43.590480;3.884611;7;1;8;
2017/10/16 10:28:03.302000000;33 Garcia Lorca;33;43.590757;3.890616;5;3;8;
2017/10/16 10:28:03.302000000;34 Vert Bois;34;43.634580;3.868230;1;7;8;
2017/10/16 10:28:03.302000000;35 Malbosc;35;43.633679;3.832861;5;3;8;
2017/10/16 10:28:03.302000000;36 Occitanie;36;43.634242;3.849128;20;12;32;1
2017/10/16 10:28:03.302000000;37 Fac des Sciences;37;43.631432;3.861159;13;11;24;
2017/10/16 10:28:03.302000000;38 Fac de Lettres;38;43.630665;3.870230;14;14;28;1
2017/10/16 10:28:03.302000000;39 Aiguelongue;39;43.626163;3.882492;2;6;8;
2017/10/16 10:28:03.302000000;40 Jeu de Mail des Abbés;40;43.619701;3.883831;5;3;8;
2017/10/16 10:28:03.302000000;41 Euromédecine;41;43.639119;3.828199;2;6;8;
2017/10/16 10:28:03.302000000;42 Marie Caizergues;42;43.619871;3.873812;3;5;8;
2017/10/16 10:28:03.302000000;43 Sabines;43;43.584211;3.860031;5;3;8;
2017/10/16 10:28:03.302000000;44 Celleneuve;44;43.614670;3.832624;3;5;8;
2017/10/16 10:28:03.302000000;45 Jardin de la Lironde;45;43.605850;3.911576;3;5;8;
2017/10/16 10:28:03.302000000;46 Père Soulas;46;43.621983;3.855603;2;6;8;
2017/10/16 10:28:03.302000000;47 Place Viala;47;43.616812;3.855075;3;5;8;1
2017/10/16 10:28:03.302000000;48 Hôtel du Département;48;43.621682;3.834770;2;6;8;
2017/10/16 10:28:03.302000000;49 Tonnelles;49;43.615155;3.839466;2;6;8;
2017/10/16 10:28:03.302000000;50 Parvis Jules Ferry - Gare Saint-Roch;50;43.603889;3.879362;0;8;8;1
2017/10/16 10:28:03.302000000;51 Pont de Lattes - Gare Saint-Roch;51;43.606036;3.882393;2;10;12;1
2017/10/16 10:28:03.302000000;53 Deux Ponts - Gare Saint-Roch;53;43.604319;3.880916;0;8;8;
2017/10/16 10:28:03.302000000;54 Providence - Ovalie;54;43.588239;3.853421;1;7;8;
2017/10/16 10:28:03.302000000;55 Pérols Etang de l'Or;55;43.558351;3.963412;21;47;68;1
2017/10/16 10:28:03.302000000;56 Albert 1er - Cathédrale;56;43.614005;3.873218;1;11;12;1
2017/10/16 10:28:03.302000000;57 Saint-Guilhem - Courreau;57;43.608996;3.872752;1;7;8;
2017/10/16 10:32:55.258000000;1 Rue Jules Ferry - Gare Saint-Roch;1;43.605366;3.881346;1;15;16;1
2017/10/16 10:32:55.259000000;2 Comédie;2;43.608148;3.878778;14;10;24;1
2017/10/16 10:32:55.260000000;3 Esplanade;3;43.609478;3.881293;20;12;32;1
2017/10/16 10:32:55.261000000;4 Hôtel de Ville;4;43.599088;3.894866;14;2;16;1
2017/10/16 10:32:55.262000000;5 Corum;5;43.613989;3.881600;3;13;16;1
2017/10/16 10:32:55.263000000;6 Place Albert 1er - St Charles;6;43.616768;3.873375;2;22;24;1
2017/10/16 10:32:55.265000000;7 Foch;7;43.610989;3.873345;2;6;8;
2017/10/16 10:32:55.266000000;8 Halles Castellane;8;43.609935;3.877208;7;9;16;
2017/10/16 10:32:55.267000000;9 Observatoire;9;43.606081;3.876931;0;8;8;1
2017/10/16 10:32:55.268000000;10 Rondelet;10;43.603038;3.875796;1;15;16;1
2017/10/16 10:32:55.269000000;11 Plan Cabanes;11;43.608491;3.868389;4;8;12;1
2017/10/16 10:32:55.270000000;12 Boutonnet;12;43.622629;3.868375;2;10;12;1
2017/10/16 10:32:55.271000000;13 Emile Combes;13;43.616742;3.879980;3;5;8;
2017/10/16 10:32:55.272000000;14 Beaux-Arts;14;43.616698;3.884981;6;2;8;
2017/10/16 10:32:55.273000000;15 Les Aubes;15;43.618692;3.893844;0;8;8;
2017/10/16 10:32:55.274000000;16 Antigone centre;16;43.607942;3.890634;11;5;16;1
2017/10/16 10:32:55.275000000;17 Médiathèque Emile Zola;17;43.608218;3.893140;12;4;16;1
2017/10/16 10:32:55.277000000;18 Nombre d'Or;18;43.607859;3.886644;9;7;16;1
2017/10/16 10:32:55.278000000;19 Louis Blanc;19;43.614642;3.877648;1;15;16;1
2017/10/16 10:32:55.279000000;20 Gambetta;20;43.607106;3.870693;1;7;8;
2017/10/16 10:32:55.279000000;21 Port Marianne;21;43.600320;3.898510;9;7;16;1
2017/10/16 10:32:55.279000000;22 Clemenceau;22;43.603539;3.872394;0;12;12;
2017/10/16 10:32:55.279000000;23 Les Arceaux;23;43.611991;3.867157;3;13;16;1
2017/10/16 10:32:55.279000000;24 Cité Mion;24;43.601143;3.884373;5;3;8;
2017/10/16 10:32:55.279000000;25 Nouveau Saint-Roch;25;43.599817;3.875757;0;8;8;
2017/10/16 10:32:55.279000000;26 Renouvier;26;43.603553;3.867884;1;7;8;
2017/10/16 10:32:55.279000000;27 Odysseum;27;43.603727;3.918979;0;8;8;1
2017/10/16 10:32:55.279000000;28 Saint-Denis;28;43.605021;3.875065;4;4;8;
2017/10/16 10:32:55.279000000;29 Richter;29;43.603424;3.899263;9;7;16;1
2017/10/16 10:32:55.279000000;30 Charles Flahault;30;43.618762;3.865971;7;1;8;
2017/10/16 10:32:55.279000000;31 Voltaire;31;43.603767;3.888659;5;3;8;
2017/10/16 10:32:55.279000000;32 Prés d'Arènes;32;43.590480;3.884611;7;1;8;
2017/10/16 10:32:55.279000000;33 Garcia Lorca;33;43.590757;3.890616;5;3;8;
2017/10/16 10:32:55.279000000;34 Vert Bois;34;43.634580;3.868230;1;7;8;
2017/10/16 10:32:55.279000000;35 Malbosc;35;43.633679;3.832861;5;3;8;
2017/10/16 10:32:55.279000000;36 Occitanie;36;43.634242;3.849128;20;12;32;1
2017/10/16 10:32:55.279000000;37 Fac des Sciences;37;43.631432;3.861159;13;11;24;
2017/10/16 10:32:55.279000000;38 Fac de Lettres;38;43.630665;3.870230;13;15;28;1
2017/10/16 10:32:55.279000000;39 Aiguelongue;39;43.626163;3.882492;2;6;8;
2017/10/16 10:32:55.279000000;40 Jeu de Mail des Abbés;40;43.619701;3.883831;5;3;8;
2017/10/16 10:32:55.279000000;41 Euromédecine;41;43.639119;3.828199;2;6;8;
2017/10/16 10:32:55.279000000;42 Marie Caizergues;42;43.619871;3.873812;3;5;8;
2017/10/16 10:32:55.279000000;43 Sabines;43;43.584211;3.860031;5;3;8;
2017/10/16 10:32:55.279000000;44 Celleneuve;44;43.614670;3.832624;3;5;8;
2017/10/16 10:32:55.279000000;45 Jardin de la Lironde;45;43.605850;3.911576;3;5;8;
2017/10/16 10:32:55.279000000;46 Père Soulas;46;43.621983;3.855603;2;6;8;
2017/10/16 10:32:55.279000000;47 Place Viala;47;43.616812;3.855075;3;5;8;1
2017/10/16 10:32:55.279000000;48 Hôtel du Département;48;43.621682;3.834770;2;6;8;
2017/10/16 10:32:55.279000000;49 Tonnelles;49;43.615155;3.839466;2;6;8;
2017/10/16 10:32:55.279000000;50 Parvis Jules Ferry - Gare Saint-Roch;50;43.603889;3.879362;0;8;8;1
2017/10/16 10:32:55.279000000;51 Pont de Lattes - Gare Saint-Roch;51;43.606036;3.882393;2;10;12;1
2017/10/16 10:32:55.279000000;53 Deux Ponts - Gare Saint-Roch;53;43.604319;3.880916;0;8;8;
2017/10/16 10:32:55.279000000;54 Providence - Ovalie;54;43.588239;3.853421;1;7;8;
2017/10/16 10:32:55.279000000;55 Pérols Etang de l'Or;55;43.558351;3.963412;21;47;68;1
2017/10/16 10:32:55.279000000;56 Albert 1er - Cathédrale;56;43.614005;3.873218;1;11;12;1
2017/10/16 10:32:55.279000000;57 Saint-Guilhem - Courreau;57;43.608996;3.872752;1;7;8;
